,id,item_id,dept_id,cat_id,store_id,state_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70
10,HOBBIES_1_011_CA_1_validation,HOBBIES_1_011,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HOBBIES_1_012_CA_1_validation,HOBBIES_1_012,HOBBIES_1,HOBBIES,CA_1,CA,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0,1,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,1,3,1,1,0,0,1,1,2
12,HOBBIES_1_013_CA_1_validation,HOBBIES_1_013,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,HOBBIES_1_014_CA_1_validation,HOBBIES_1_014,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HOBBIES_1_015_CA_1_validation,HOBBIES_1_015,HOBBIES_1,HOBBIES,CA_1,CA,4,0,0,5,0,0,0,0,0,0,0,25,0,9,2,1,14,5,0,0,0,7,18,8,15,0,7,1,16,4,4,13,20,1,8,1,5,1,0,2,2,1,8,4,1,16,1,6,2,9,3,1,11,1,0,1,2,24,1,4,0,7,3,2,2,1,3,18,9,0
15,HOBBIES_1_016_CA_1_validation,HOBBIES_1_016,HOBBIES_1,HOBBIES,CA_1,CA,5,1,3,0,15,32,1,5,2,7,0,1,1,2,0,9,1,3,0,0,0,0,5,18,40,0,0,0,31,2,3,3,24,6,2,8,7,3,0,4,6,4,22,4,3,3,12,3,0,3,12,3,4,1,44,0,0,0,2,1,2,0,0,3,2,2,7,2,22,0
16,HOBBIES_1_017_CA_1_validation,HOBBIES_1_017,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HOBBIES_1_018_CA_1_validation,HOBBIES_1_018,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,HOBBIES_1_019_CA_1_validation,HOBBIES_1_019,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,HOBBIES_1_020_CA_1_validation,HOBBIES_1_020,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0
20,HOBBIES_1_021_CA_1_validation,HOBBIES_1_021,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,3,0,1,1,2,4,2,6
21,HOBBIES_1_022_CA_1_validation,HOBBIES_1_022,HOBBIES_1,HOBBIES,CA_1,CA,2,1,1,1,0,0,1,1,0,1,2,1,2,0,1,1,0,1,0,2,0,0,0,1,2,1,0,1,0,3,1,1,2,0,5,2,0,1,0,2,0,0,1,1,0,0,0,0,2,1,0,1,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,2
22,HOBBIES_1_023_CA_1_validation,HOBBIES_1_023,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,0,2,1,3,7,2,0,3,0,0,0,4,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,3,3,4,0,1,2,2,2,2,0,2,0,2,1,0,1,2,0,1,2,3,1,3,0,1,1,2,3,6,2,0,3,2,3
23,HOBBIES_1_024_CA_1_validation,HOBBIES_1_024,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HOBBIES_1_025_CA_1_validation,HOBBIES_1_025,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,HOBBIES_1_026_CA_1_validation,HOBBIES_1_026,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,HOBBIES_1_027_CA_1_validation,HOBBIES_1_027,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,HOBBIES_1_028_CA_1_validation,HOBBIES_1_028,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,0,1,0,0,2,2,0,3,2,1,1,0,1,1,1,2,0,1,3,2,1,0,0,3,5,0,0,4,2,1,1,4
28,HOBBIES_1_029_CA_1_validation,HOBBIES_1_029,HOBBIES_1,HOBBIES,CA_1,CA,2,0,3,0,0,2,2,0,0,0,0,0,4,0,6,2,1,1,2,2,2,0,1,2,0,2,1,0,5,2,2,1,2,0,2,1,1,2,2,0,1,2,0,2,2,0,1,2,0,3,1,0,1,1,2,0,0,2,2,1,1,4,2,1,3,0,1,1,2,2
29,HOBBIES_1_030_CA_1_validation,HOBBIES_1_030,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HOBBIES_1_031_CA_1_validation,HOBBIES_1_031,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
31,HOBBIES_1_032_CA_1_validation,HOBBIES_1_032,HOBBIES_1,HOBBIES,CA_1,CA,9,0,5,16,8,9,26,9,1,2,7,19,26,8,12,4,1,2,3,2,52,15,7,54,3,9,0,0,28,0,0,0,0,0,0,0,22,24,4,31,3,20,3,5,4,24,1,0,1,43,2,4,1,26,24,1,7,15,7,7,5,2,13,1,2,12,3,4,30,6
32,HOBBIES_1_033_CA_1_validation,HOBBIES_1_033,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,HOBBIES_1_034_CA_1_validation,HOBBIES_1_034,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
34,HOBBIES_1_035_CA_1_validation,HOBBIES_1_035,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,HOBBIES_1_036_CA_1_validation,HOBBIES_1_036,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,0,0,0,0,0,2,7,1,0,0,0,2,5,0,5,2,1,0,0,1,3,0,0,1,1,0,1,0,0,12,0,1,1,0,0,0,0,0,2,1,4,0,1,0,1,1,0,0,0,0,0,0,3,0,4,1,1,2,1,1,2,0,0,0,1,3,1
36,HOBBIES_1_037_CA_1_validation,HOBBIES_1_037,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,HOBBIES_1_038_CA_1_validation,HOBBIES_1_038,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,1,1,2,2,0,0,0,1,1,0,0,2,1,0,0,2,2,1,0,2,0,2,0,0,1,1,2,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,1,0
38,HOBBIES_1_039_CA_1_validation,HOBBIES_1_039,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,HOBBIES_1_040_CA_1_validation,HOBBIES_1_040,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,HOBBIES_1_041_CA_1_validation,HOBBIES_1_041,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,HOBBIES_1_042_CA_1_validation,HOBBIES_1_042,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,HOBBIES_1_043_CA_1_validation,HOBBIES_1_043,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,0,0,0,0,0,4,2,4,1,2,0,0,0,1,21,0,2,2,12,0,2,5,6,3,1,0,3,0,0,12,2,12,3,12,4,1,9,16,0,0,0,5,3,10,4,1,1,1,0
43,HOBBIES_1_044_CA_1_validation,HOBBIES_1_044,HOBBIES_1,HOBBIES,CA_1,CA,3,3,2,1,1,0,4,8,1,1,1,1,2,1,4,4,2,3,3,0,3,5,3,2,6,5,1,2,5,3,5,0,3,1,0,1,2,3,1,0,0,0,3,0,4,1,1,0,1,2,2,2,1,3,6,1,1,2,3,1,1,1,1,4,2,0,0,1,3,2
44,HOBBIES_1_045_CA_1_validation,HOBBIES_1_045,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,HOBBIES_1_046_CA_1_validation,HOBBIES_1_046,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,HOBBIES_1_047_CA_1_validation,HOBBIES_1_047,HOBBIES_1,HOBBIES,CA_1,CA,1,2,3,0,1,1,3,5,3,0,5,1,0,5,2,3,2,2,1,0,5,5,3,2,1,10,0,0,4,2,1,0,8,5,3,8,0,8,1,0,8,0,0,0,0,0,0,2,21,2,4,2,0,0,0,0,1,0,6,9,3,0,1,6,0,0,4,2,0,2
47,HOBBIES_1_048_CA_1_validation,HOBBIES_1_048,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,HOBBIES_1_049_CA_1_validation,HOBBIES_1_049,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,HOBBIES_1_050_CA_1_validation,HOBBIES_1_050,HOBBIES_1,HOBBIES,CA_1,CA,2,0,1,0,1,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,1,1,2,0,2,1,0,1
50,HOBBIES_1_051_CA_1_validation,HOBBIES_1_051,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,HOBBIES_1_052_CA_1_validation,HOBBIES_1_052,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HOBBIES_1_053_CA_1_validation,HOBBIES_1_053,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,HOBBIES_1_054_CA_1_validation,HOBBIES_1_054,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,HOBBIES_1_055_CA_1_validation,HOBBIES_1_055,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,2,0,0,0,2,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,5,0,0,0,0,0,2,1,0,0,2,0,0,1,0,1,0,0,3,3,0,0,0,0,1,0,2,1,0,4,0,1,2,0,1,1,0,0,3
55,HOBBIES_1_056_CA_1_validation,HOBBIES_1_056,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,HOBBIES_1_057_CA_1_validation,HOBBIES_1_057,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,HOBBIES_1_058_CA_1_validation,HOBBIES_1_058,HOBBIES_1,HOBBIES,CA_1,CA,1,2,3,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,2,2,0,1,1,0,1,3,0,0,0,0,2,1,0,3,1,0,0,0,1,2,0,0,0,0,0,0,3,3,0,1,0,1,0,1,1,1,1,0,0,0,2,1,0,0,0,1,1
58,HOBBIES_1_060_CA_1_validation,HOBBIES_1_060,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,HOBBIES_1_061_CA_1_validation,HOBBIES_1_061,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,1,1,1,2,1,1,0,0,0,1
60,HOBBIES_1_062_CA_1_validation,HOBBIES_1_062,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,HOBBIES_1_063_CA_1_validation,HOBBIES_1_063,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,3,1,1,1,2,0,0,0,1,0,2,0,0,1,4,1,0,1,3,0,0,1,0,1,0,0,0,4,1,1
62,HOBBIES_1_064_CA_1_validation,HOBBIES_1_064,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,2,0,0,1,0,2,0,2,0,0,0,3,2,0,0,4,3,0,0,3,0,0,2,0,0,1,3,0,0,0,1,2,3,1,0,2,2,3,0
63,HOBBIES_1_065_CA_1_validation,HOBBIES_1_065,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,HOBBIES_1_066_CA_1_validation,HOBBIES_1_066,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,HOBBIES_1_067_CA_1_validation,HOBBIES_1_067,HOBBIES_1,HOBBIES,CA_1,CA,0,7,6,7,4,5,5,35,14,10,37,6,9,5,49,4,8,1,5,1,4,15,0,0,26,2,30,0,20,0,0,0,0,0,0,0,4,29,4,0,6,26,67,11,0,24,1,31,11,7,3,5,7,4,5,0,19,8,13,8,4,6,5,25,9,27,10,14,7,28
66,HOBBIES_1_068_CA_1_validation,HOBBIES_1_068,HOBBIES_1,HOBBIES,CA_1,CA,1,0,2,0,1,0,1,6,0,2,5,1,1,0,3,2,3,2,1,1,1,0,2,0,1,2,2,0,1,2,2,0,0,4,0,3,1,0,1,0,2,0,2,4,1,0,6,0,0,1,1,1,0,0,4,2,2,0,0,0,0,0,3,1,1,2,2,0,2,1
67,HOBBIES_1_069_CA_1_validation,HOBBIES_1_069,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
